00012941Jonathan       Rodriguez  26050BESIGNAN                                          DROME                       RHONE-ALPES                   00947400312300322800312302
00790922Muriel         Arnaud     14200CREULLY                                           CALVADOS                    BASSE-NORMANDIE               01631400546700544900539805
00889852Matthieu       Picard     66211TORDERES                                          PYRENEES-ORIENTALES         LANGUEDOC-ROUSSILLON          06841402133101585503122806
01328678Florian        Lecomte    14183COSSESSEVILLE                                     CALVADOS                    BASSE-NORMANDIE               02030200649500574100806606
01448471Nathalie       Benoit     53068CHERANCE                                          MAYENNE                     PAYS DE LA LOIRE              00566100179400152400234302
01918823Fabienne       Hoarau     57453MAXSTADT                                          MOSELLE                     LORRAINE                      08547002570201733404243403
02280283Daniel         Deschamps  92064SAINT-CLOUD                                       HAUTS-DE-SEINE              ILE-DE-FRANCE                 02770200903601055700810904
02563262Cedric         Barre      34278SAINT-MICHEL                                      HERAULT                     LANGUEDOC-ROUSSILLON          05780901734901158902887103
02885481Elodie         Deschamps  33388SAINT-CIERS-DE-CANESSE                            GIRONDE                     AQUITAINE                     00802800268900268900265002
03427557Jerome         Breton     81134LAMONTELARIE                                      TARN                        MIDI-PYRENEES                 04887201468901111802306505
04144405Claude         Lecomte    51130CHARMONT                                          MARNE                       CHAMPAGNE-ARDENNE             01599700520500478800600406
04186499Anthony        Philippe   89123COURGIS                                           YONNE                       BOURGOGNE                     02529600793200662101074304
04381161Michel         Weber      73129GRESY-SUR-ISERE                                   SAVOIE                      RHONE-ALPES                   00911600310800279700321105
04393210Karine         Delaunay   20113FICAJA                                            HAUTE-CORSE                 CORSE                         00945000315000315000315002
04720278Clara          Garcia     68162KAYSERSBERG                                       HAUT-RHIN                   ALSACE                        03724301125500780501818303
04914690Loic           Bailly     28230MAISONS                                           EURE-ET-LOIR                CENTRE                        01303400413500350500539403
05249066Matthieu       Grondin    19289YSSANDON                                          CORREZE                     LIMOUSIN                      09385402905802110604369005
05781635Gilles         Bertrand   25137CHAUDEFONTAINE                                    DOUBS                       FRANCHE-COMTE                 16152704894703377107880906
05818791Gerard         Bonnet     89338SAINT-CLEMENT                                     YONNE                       BOURGOGNE                     03816001186800896401732806
06109062Thierry        Millet     55298LOISEY-CULEY                                      MEUSE                       LORRAINE                      01389200460900465200463105
